State,Quarter,Broad Type of Service,MBS Bulk Billing Rate (%), Avg Patient Contribution Per Service ($)
WA,2024-25 Q1 (Sep Qtr),Total GP Non-Referred Attendances,70.2%,46.69
WA,2024-25 Q1 (Sep Qtr),Total GP Non-Referred Attendances,66.5%,47.49
WA,2024-25 Q1 (Sep Qtr),Total GP Non-Referred Attendances,71.6%,44.34
WA,2024-25 Q1 (Sep Qtr),Total GP Non-Referred Attendances,75.2%,50.28
Tas,2024-25 Q1 (Sep Qtr),Total GP Non-Referred Attendances,71.7%,55.24
Tas,2024-25 Q1 (Sep Qtr),Total GP Non-Referred Attendances,71.7%,55.24
NT,2024-25 Q1 (Sep Qtr),Total GP Non-Referred Attendances,74.8%,45.34
NT,2024-25 Q1 (Sep Qtr),Total GP Non-Referred Attendances,74.8%,45.34
ACT,2024-25 Q1 (Sep Qtr),Total GP Non-Referred Attendances,52.9%,53.16
ACT,2024-25 Q1 (Sep Qtr),Total GP Non-Referred Attendances,52.9%,53.16
Unk,2024-25 Q1 (Sep Qtr),Total GP Non-Referred Attendances,98.5%,47.00
Unk,2024-25 Q1 (Sep Qtr),Total GP Non-Referred Attendances,98.5%,47.00
Australia,2024-25 Q1 (Sep Qtr),Practice Nurse,96.1%,13.25
NSW,2024-25 Q1 (Sep Qtr),Practice Nurse,97.0%,14.31
NSW,2024-25 Q1 (Sep Qtr),Practice Nurse,98.3%,13.88
NSW,2024-25 Q1 (Sep Qtr),Practice Nurse,96.5%,13.40
NSW,2024-25 Q1 (Sep Qtr),Practice Nurse,99.3%,15.85
NSW,2024-25 Q1 (Sep Qtr),Practice Nurse,98.9%,13.10
NSW,2024-25 Q1 (Sep Qtr),Practice Nurse,99.0%,2.04
NSW,2024-25 Q1 (Sep Qtr),Practice Nurse,98.7%,23.06
NSW,2024-25 Q1 (Sep Qtr),Practice Nurse,97.9%,14.91
NSW,2024-25 Q1 (Sep Qtr),Practice Nurse,93.3%,14.74
NSW,2024-25 Q1 (Sep Qtr),Practice Nurse,97.9%,13.28
NSW,2024-25 Q1 (Sep Qtr),Practice Nurse,99.0%,10.98
Vic,2024-25 Q1 (Sep Qtr),Practice Nurse,95.1%,13.44
Vic,2024-25 Q1 (Sep Qtr),Practice Nurse,98.9%,5.16
Vic,2024-25 Q1 (Sep Qtr),Practice Nurse,98.5%,16.56
Vic,2024-25 Q1 (Sep Qtr),Practice Nurse,97.1%,12.21
Vic,2024-25 Q1 (Sep Qtr),Practice Nurse,92.6%,11.75
Vic,2024-25 Q1 (Sep Qtr),Practice Nurse,79.6%,13.55
Vic,2024-25 Q1 (Sep Qtr),Practice Nurse,96.9%,18.43
Qld,2024-25 Q1 (Sep Qtr),Practice Nurse,94.1%,13.15
Qld,2024-25 Q1 (Sep Qtr),Practice Nurse,92.8%,12.58
Qld,2024-25 Q1 (Sep Qtr),Practice Nurse,95.4%,15.55
Qld,2024-25 Q1 (Sep Qtr),Practice Nurse,97.1%,14.83
Qld,2024-25 Q1 (Sep Qtr),Practice Nurse,98.9%,11.90
Qld,2024-25 Q1 (Sep Qtr),Practice Nurse,98.4%,13.06
Qld,2024-25 Q1 (Sep Qtr),Practice Nurse,93.0%,12.65
Qld,2024-25 Q1 (Sep Qtr),Practice Nurse,89.6%,12.37
SA,2024-25 Q1 (Sep Qtr),Practice Nurse,98.7%,2.97
SA,2024-25 Q1 (Sep Qtr),Practice Nurse,98.4%,1.74
SA,2024-25 Q1 (Sep Qtr),Practice Nurse,99.1%,7.11
WA,2024-25 Q1 (Sep Qtr),Practice Nurse,97.6%,15.03
WA,2024-25 Q1 (Sep Qtr),Practice Nurse,98.5%,15.38
WA,2024-25 Q1 (Sep Qtr),Practice Nurse,95.6%,15.26
WA,2024-25 Q1 (Sep Qtr),Practice Nurse,99.5%,11.20
Tas,2024-25 Q1 (Sep Qtr),Practice Nurse,93.5%,11.32
Tas,2024-25 Q1 (Sep Qtr),Practice Nurse,93.5%,11.32
NT,2024-25 Q1 (Sep Qtr),Practice Nurse,100.0%,9.11
NT,2024-25 Q1 (Sep Qtr),Practice Nurse,100.0%,9.11
ACT,2024-25 Q1 (Sep Qtr),Practice Nurse,98.8%,16.22
ACT,2024-25 Q1 (Sep Qtr),Practice Nurse,98.8%,16.22
Unk,2024-25 Q1 (Sep Qtr),Practice Nurse,96.0%,12.25
Unk,2024-25 Q1 (Sep Qtr),Practice Nurse,96.0%,12.25
Australia,2024-25 Q1 (Sep Qtr),Other Allied Health,42.0%,66.32
NSW,2024-25 Q1 (Sep Qtr),Other Allied Health,42.7%,65.75
NSW,2024-25 Q1 (Sep Qtr),Other Allied Health,39.4%,79.13
NSW,2024-25 Q1 (Sep Qtr),Other Allied Health,26.4%,76.63
NSW,2024-25 Q1 (Sep Qtr),Other Allied Health,60.6%,67.50
NSW,2024-25 Q1 (Sep Qtr),Other Allied Health,48.3%,64.89
NSW,2024-25 Q1 (Sep Qtr),Other Allied Health,63.9%,60.25
NSW,2024-25 Q1 (Sep Qtr),Other Allied Health,29.6%,57.23
NSW,2024-25 Q1 (Sep Qtr),Other Allied Health,46.1%,65.89
NSW,2024-25 Q1 (Sep Qtr),Other Allied Health,34.7%,57.97
NSW,2024-25 Q1 (Sep Qtr),Other Allied Health,36.7%,49.95
NSW,2024-25 Q1 (Sep Qtr),Other Allied Health,43.8%,53.49
Vic,2024-25 Q1 (Sep Qtr),Other Allied Health,40.2%,66.38
Vic,2024-25 Q1 (Sep Qtr),Other Allied Health,47.6%,74.19
Vic,2024-25 Q1 (Sep Qtr),Other Allied Health,37.3%,66.74
Vic,2024-25 Q1 (Sep Qtr),Other Allied Health,38.3%,68.48
Vic,2024-25 Q1 (Sep Qtr),Other Allied Health,41.8%,50.37
Vic,2024-25 Q1 (Sep Qtr),Other Allied Health,37.7%,52.09
Vic,2024-25 Q1 (Sep Qtr),Other Allied Health,31.5%,58.26
Qld,2024-25 Q1 (Sep Qtr),Other Allied Health,45.0%,66.95
Qld,2024-25 Q1 (Sep Qtr),Other Allied Health,39.8%,73.22
Qld,2024-25 Q1 (Sep Qtr),Other Allied Health,49.5%,72.53
Qld,2024-25 Q1 (Sep Qtr),Other Allied Health,47.2%,66.28
Qld,2024-25 Q1 (Sep Qtr),Other Allied Health,55.5%,61.84
Qld,2024-25 Q1 (Sep Qtr),Other Allied Health,61.7%,80.00
Qld,2024-25 Q1 (Sep Qtr),Other Allied Health,37.4%,58.16
Qld,2024-25 Q1 (Sep Qtr),Other Allied Health,44.9%,63.39
SA,2024-25 Q1 (Sep Qtr),Other Allied Health,51.7%,61.34
SA,2024-25 Q1 (Sep Qtr),Other Allied Health,54.9%,66.50
SA,2024-25 Q1 (Sep Qtr),Other Allied Health,41.3%,48.47
WA,2024-25 Q1 (Sep Qtr),Other Allied Health,37.4%,69.00
WA,2024-25 Q1 (Sep Qtr),Other Allied Health,31.6%,71.22
WA,2024-25 Q1 (Sep Qtr),Other Allied Health,43.5%,67.82
WA,2024-25 Q1 (Sep Qtr),Other Allied Health,38.5%,64.23
Tas,2024-25 Q1 (Sep Qtr),Other Allied Health,22.8%,54.78
Tas,2024-25 Q1 (Sep Qtr),Other Allied Health,22.8%,54.78
NT,2024-25 Q1 (Sep Qtr),Other Allied Health,48.4%,75.86
NT,2024-25 Q1 (Sep Qtr),Other Allied Health,48.4%,75.86
ACT,2024-25 Q1 (Sep Qtr),Other Allied Health,14.6%,86.89
ACT,2024-25 Q1 (Sep Qtr),Other Allied Health,14.6%,86.89
Unk,2024-25 Q1 (Sep Qtr),Other Allied Health,87.3%,37.59
Unk,2024-25 Q1 (Sep Qtr),Other Allied Health,87.3%,37.59
Australia,2024-25 Q1 (Sep Qtr),Specialist Attendances,28.4%,118.97
NSW,2024-25 Q1 (Sep Qtr),Specialist Attendances,31.1%,125.91
NSW,2024-25 Q1 (Sep Qtr),Specialist Attendances,31.6%,134.02
NSW,2024-25 Q1 (Sep Qtr),Specialist Attendances,21.5%,130.20
NSW,2024-25 Q1 (Sep Qtr),Specialist Attendances,35.9%,129.41
NSW,2024-25 Q1 (Sep Qtr),Specialist Attendances,33.2%,123.57
NSW,2024-25 Q1 (Sep Qtr),Specialist Attendances,39.0%,127.28
NSW,2024-25 Q1 (Sep Qtr),Specialist Attendances,32.3%,124.33
NSW,2024-25 Q1 (Sep Qtr),Specialist Attendances,38.6%,126.17
NSW,2024-25 Q1 (Sep Qtr),Specialist Attendances,28.2%,118.00
NSW,2024-25 Q1 (Sep Qtr),Specialist Attendances,31.7%,108.79
NSW,2024-25 Q1 (Sep Qtr),Specialist Attendances,28.1%,116.74
Vic,2024-25 Q1 (Sep Qtr),Specialist Attendances,29.3%,112.21
Vic,2024-25 Q1 (Sep Qtr),Specialist Attendances,31.5%,118.50
Vic,2024-25 Q1 (Sep Qtr),Specialist Attendances,24.7%,112.92
Vic,2024-25 Q1 (Sep Qtr),Specialist Attendances,28.6%,112.57
Vic,2024-25 Q1 (Sep Qtr),Specialist Attendances,42.2%,102.98
Vic,2024-25 Q1 (Sep Qtr),Specialist Attendances,32.4%,105.01
Vic,2024-25 Q1 (Sep Qtr),Specialist Attendances,30.8%,104.44
Qld,2024-25 Q1 (Sep Qtr),Specialist Attendances,25.2%,119.82
Qld,2024-25 Q1 (Sep Qtr),Specialist Attendances,22.1%,121.10
Qld,2024-25 Q1 (Sep Qtr),Specialist Attendances,24.7%,120.45
Qld,2024-25 Q1 (Sep Qtr),Specialist Attendances,23.7%,118.37
Qld,2024-25 Q1 (Sep Qtr),Specialist Attendances,24.1%,119.52
Qld,2024-25 Q1 (Sep Qtr),Specialist Attendances,36.8%,134.94
Qld,2024-25 Q1 (Sep Qtr),Specialist Attendances,27.0%,120.53
Qld,2024-25 Q1 (Sep Qtr),Specialist Attendances,32.9%,114.81
SA,2024-25 Q1 (Sep Qtr),Specialist Attendances,29.6%,98.54
SA,2024-25 Q1 (Sep Qtr),Specialist Attendances,27.9%,97.98
SA,2024-25 Q1 (Sep Qtr),Specialist Attendances,34.7%,100.22
WA,2024-25 Q1 (Sep Qtr),Specialist Attendances,20.3%,125.03
WA,2024-25 Q1 (Sep Qtr),Specialist Attendances,19.2%,126.08
WA,2024-25 Q1 (Sep Qtr),Specialist Attendances,19.2%,124.83
WA,2024-25 Q1 (Sep Qtr),Specialist Attendances,26.3%,122.25
Tas,2024-25 Q1 (Sep Qtr),Specialist Attendances,26.2%,101.50
Tas,2024-25 Q1 (Sep Qtr),Specialist Attendances,26.2%,101.50
NT,2024-25 Q1 (Sep Qtr),Specialist Attendances,28.7%,125.44
NT,2024-25 Q1 (Sep Qtr),Specialist Attendances,28.7%,125.44
ACT,2024-25 Q1 (Sep Qtr),Specialist Attendances,25.3%,139.49
ACT,2024-25 Q1 (Sep Qtr),Specialist Attendances,25.3%,139.49
Unk,2024-25 Q1 (Sep Qtr),Specialist Attendances,36.9%,136.08
Unk,2024-25 Q1 (Sep Qtr),Specialist Attendances,36.9%,136.08
Australia,2024-25 Q1 (Sep Qtr),Obstetrics,51.3%,329.00
NSW,2024-25 Q1 (Sep Qtr),Obstetrics,50.4%,381.57
NSW,2024-25 Q1 (Sep Qtr),Obstetrics,35.3%,417.74
NSW,2024-25 Q1 (Sep Qtr),Obstetrics,41.8%,503.88
NSW,2024-25 Q1 (Sep Qtr),Obstetrics,71.6%,637.31
NSW,2024-25 Q1 (Sep Qtr),Obstetrics,59.8%,269.90
NSW,2024-25 Q1 (Sep Qtr),Obstetrics,60.2%,430.29
NSW,2024-25 Q1 (Sep Qtr),Obstetrics,38.7%,240.47
NSW,2024-25 Q1 (Sep Qtr),Obstetrics,48.7%,178.37
NSW,2024-25 Q1 (Sep Qtr),Obstetrics,49.9%,235.96
NSW,2024-25 Q1 (Sep Qtr),Obstetrics,52.2%,197.62
NSW,2024-25 Q1 (Sep Qtr),Obstetrics,42.0%,180.54
Vic,2024-25 Q1 (Sep Qtr),Obstetrics,69.7%,584.45
Vic,2024-25 Q1 (Sep Qtr),Obstetrics,73.8%,752.80
Vic,2024-25 Q1 (Sep Qtr),Obstetrics,66.2%,677.22
Vic,2024-25 Q1 (Sep Qtr),Obstetrics,71.5%,626.77
Vic,2024-25 Q1 (Sep Qtr),Obstetrics,80.4%,121.34
Vic,2024-25 Q1 (Sep Qtr),Obstetrics,54.9%,205.86
Vic,2024-25 Q1 (Sep Qtr),Obstetrics,61.4%,413.39
Qld,2024-25 Q1 (Sep Qtr),Obstetrics,38.5%,185.37
Qld,2024-25 Q1 (Sep Qtr),Obstetrics,28.1%,207.97
Qld,2024-25 Q1 (Sep Qtr),Obstetrics,38.6%,194.40
Qld,2024-25 Q1 (Sep Qtr),Obstetrics,42.4%,176.83
Qld,2024-25 Q1 (Sep Qtr),Obstetrics,40.7%,161.23
Qld,2024-25 Q1 (Sep Qtr),Obstetrics,43.3%,177.88
Qld,2024-25 Q1 (Sep Qtr),Obstetrics,37.7%,167.11
Qld,2024-25 Q1 (Sep Qtr),Obstetrics,48.6%,172.96
SA,2024-25 Q1 (Sep Qtr),Obstetrics,40.6%,229.05
SA,2024-25 Q1 (Sep Qtr),Obstetrics,37.2%,261.66
SA,2024-25 Q1 (Sep Qtr),Obstetrics,48.5%,144.68
WA,2024-25 Q1 (Sep Qtr),Obstetrics,38.4%,210.31
WA,2024-25 Q1 (Sep Qtr),Obstetrics,33.8%,253.51
WA,2024-25 Q1 (Sep Qtr),Obstetrics,40.1%,195.32
WA,2024-25 Q1 (Sep Qtr),Obstetrics,45.5%,121.49
Tas,2024-25 Q1 (Sep Qtr),Obstetrics,43.6%,253.92
Tas,2024-25 Q1 (Sep Qtr),Obstetrics,43.6%,253.92
NT,2024-25 Q1 (Sep Qtr),Obstetrics,61.9%,202.94
NT,2024-25 Q1 (Sep Qtr),Obstetrics,61.9%,202.94
ACT,2024-25 Q1 (Sep Qtr),Obstetrics,26.8%,339.34
ACT,2024-25 Q1 (Sep Qtr),Obstetrics,26.8%,339.34
Australia,2024-25 Q1 (Sep Qtr),Anaesthetics,9.1%,219.45
NSW,2024-25 Q1 (Sep Qtr),Anaesthetics,10.3%,186.91
NSW,2024-25 Q1 (Sep Qtr),Anaesthetics,7.1%,267.19
NSW,2024-25 Q1 (Sep Qtr),Anaesthetics,4.2%,122.15
NSW,2024-25 Q1 (Sep Qtr),Anaesthetics,17.7%,233.24
NSW,2024-25 Q1 (Sep Qtr),Anaesthetics,20.7%,226.63
NSW,2024-25 Q1 (Sep Qtr),Anaesthetics,19.6%,283.12
NSW,2024-25 Q1 (Sep Qtr),Anaesthetics,10.8%,221.26
NSW,2024-25 Q1 (Sep Qtr),Anaesthetics,6.9%,77.64
NSW,2024-25 Q1 (Sep Qtr),Anaesthetics,9.8%,146.63
NSW,2024-25 Q1 (Sep Qtr),Anaesthetics,5.5%,96.61
NSW,2024-25 Q1 (Sep Qtr),Anaesthetics,4.9%,112.89
Vic,2024-25 Q1 (Sep Qtr),Anaesthetics,8.8%,234.22
Vic,2024-25 Q1 (Sep Qtr),Anaesthetics,13.2%,273.29
Vic,2024-25 Q1 (Sep Qtr),Anaesthetics,7.1%,271.24
Vic,2024-25 Q1 (Sep Qtr),Anaesthetics,8.8%,258.42
Vic,2024-25 Q1 (Sep Qtr),Anaesthetics,10.3%,219.20
Vic,2024-25 Q1 (Sep Qtr),Anaesthetics,5.9%,102.01
Vic,2024-25 Q1 (Sep Qtr),Anaesthetics,6.1%,207.81
Qld,2024-25 Q1 (Sep Qtr),Anaesthetics,12.4%,207.27
Qld,2024-25 Q1 (Sep Qtr),Anaesthetics,11.0%,202.66
Qld,2024-25 Q1 (Sep Qtr),Anaesthetics,19.7%,235.00
Qld,2024-25 Q1 (Sep Qtr),Anaesthetics,11.2%,170.38
Qld,2024-25 Q1 (Sep Qtr),Anaesthetics,11.9%,186.01
Qld,2024-25 Q1 (Sep Qtr),Anaesthetics,5.9%,106.37
Qld,2024-25 Q1 (Sep Qtr),Anaesthetics,9.0%,218.80
Qld,2024-25 Q1 (Sep Qtr),Anaesthetics,7.6%,210.98
SA,2024-25 Q1 (Sep Qtr),Anaesthetics,6.6%,189.16
SA,2024-25 Q1 (Sep Qtr),Anaesthetics,6.4%,213.18
SA,2024-25 Q1 (Sep Qtr),Anaesthetics,7.0%,151.34
WA,2024-25 Q1 (Sep Qtr),Anaesthetics,3.9%,378.59
WA,2024-25 Q1 (Sep Qtr),Anaesthetics,4.1%,320.59
WA,2024-25 Q1 (Sep Qtr),Anaesthetics,3.7%,425.59
WA,2024-25 Q1 (Sep Qtr),Anaesthetics,3.8%,435.61
Tas,2024-25 Q1 (Sep Qtr),Anaesthetics,1.7%,85.82
Tas,2024-25 Q1 (Sep Qtr),Anaesthetics,1.7%,85.82
NT,2024-25 Q1 (Sep Qtr),Anaesthetics,4.9%,242.10
NT,2024-25 Q1 (Sep Qtr),Anaesthetics,4.9%,242.10
ACT,2024-25 Q1 (Sep Qtr),Anaesthetics,3.9%,182.81
ACT,2024-25 Q1 (Sep Qtr),Anaesthetics,3.9%,182.81
Unk,2024-25 Q1 (Sep Qtr),Anaesthetics,6.3%,-
Unk,2024-25 Q1 (Sep Qtr),Anaesthetics,6.3%,-
Australia,2024-25 Q1 (Sep Qtr),Total Pathology,90.1%,24.64
NSW,2024-25 Q1 (Sep Qtr),Total Pathology,88.7%,26.15
NSW,2024-25 Q1 (Sep Qtr),Total Pathology,88.0%,36.93
NSW,2024-25 Q1 (Sep Qtr),Total Pathology,82.7%,22.43
NSW,2024-25 Q1 (Sep Qtr),Total Pathology,91.1%,24.46
NSW,2024-25 Q1 (Sep Qtr),Total Pathology,91.3%,26.26
NSW,2024-25 Q1 (Sep Qtr),Total Pathology,92.0%,23.62
NSW,2024-25 Q1 (Sep Qtr),Total Pathology,89.9%,23.45
NSW,2024-25 Q1 (Sep Qtr),Total Pathology,91.1%,38.23
NSW,2024-25 Q1 (Sep Qtr),Total Pathology,87.3%,22.66
NSW,2024-25 Q1 (Sep Qtr),Total Pathology,89.6%,24.67
NSW,2024-25 Q1 (Sep Qtr),Total Pathology,89.5%,34.15
Vic,2024-25 Q1 (Sep Qtr),Total Pathology,90.9%,23.85
Vic,2024-25 Q1 (Sep Qtr),Total Pathology,93.9%,24.79
Vic,2024-25 Q1 (Sep Qtr),Total Pathology,88.5%,26.25
Vic,2024-25 Q1 (Sep Qtr),Total Pathology,89.3%,28.24
Vic,2024-25 Q1 (Sep Qtr),Total Pathology,93.1%,18.67
Vic,2024-25 Q1 (Sep Qtr),Total Pathology,92.8%,16.51
Vic,2024-25 Q1 (Sep Qtr),Total Pathology,90.7%,20.17
Qld,2024-25 Q1 (Sep Qtr),Total Pathology,91.4%,24.20
Qld,2024-25 Q1 (Sep Qtr),Total Pathology,90.9%,24.08
Qld,2024-25 Q1 (Sep Qtr),Total Pathology,90.8%,23.70
Qld,2024-25 Q1 (Sep Qtr),Total Pathology,90.7%,32.41
Qld,2024-25 Q1 (Sep Qtr),Total Pathology,91.5%,22.65
Qld,2024-25 Q1 (Sep Qtr),Total Pathology,92.5%,20.09
Qld,2024-25 Q1 (Sep Qtr),Total Pathology,91.5%,20.92
Qld,2024-25 Q1 (Sep Qtr),Total Pathology,93.7%,26.09
SA,2024-25 Q1 (Sep Qtr),Total Pathology,88.8%,26.82
SA,2024-25 Q1 (Sep Qtr),Total Pathology,87.8%,28.31
SA,2024-25 Q1 (Sep Qtr),Total Pathology,91.6%,22.39
WA,2024-25 Q1 (Sep Qtr),Total Pathology,89.9%,21.82
WA,2024-25 Q1 (Sep Qtr),Total Pathology,89.5%,22.12
WA,2024-25 Q1 (Sep Qtr),Total Pathology,89.6%,24.02
WA,2024-25 Q1 (Sep Qtr),Total Pathology,91.9%,12.62
Tas,2024-25 Q1 (Sep Qtr),Total Pathology,93.2%,29.39
Tas,2024-25 Q1 (Sep Qtr),Total Pathology,93.2%,29.39
NT,2024-25 Q1 (Sep Qtr),Total Pathology,97.2%,24.07
NT,2024-25 Q1 (Sep Qtr),Total Pathology,97.2%,24.07
ACT,2024-25 Q1 (Sep Qtr),Total Pathology,91.7%,18.81
ACT,2024-25 Q1 (Sep Qtr),Total Pathology,91.7%,18.81
Unk,2024-25 Q1 (Sep Qtr),Total Pathology,98.2%,29.72
Unk,2024-25 Q1 (Sep Qtr),Total Pathology,98.2%,29.72
Australia,2024-25 Q1 (Sep Qtr),Diagnostic Imaging,76.2%,127.46
NSW,2024-25 Q1 (Sep Qtr),Diagnostic Imaging,77.0%,121.84
NSW,2024-25 Q1 (Sep Qtr),Diagnostic Imaging,75.9%,137.30
NSW,2024-25 Q1 (Sep Qtr),Diagnostic Imaging,60.2%,124.29
NSW,2024-25 Q1 (Sep Qtr),Diagnostic Imaging,84.9%,127.69
NSW,2024-25 Q1 (Sep Qtr),Diagnostic Imaging,87.5%,128.61
NSW,2024-25 Q1 (Sep Qtr),Diagnostic Imaging,88.7%,141.02
NSW,2024-25 Q1 (Sep Qtr),Diagnostic Imaging,76.6%,121.60
NSW,2024-25 Q1 (Sep Qtr),Diagnostic Imaging,75.4%,106.44
NSW,2024-25 Q1 (Sep Qtr),Diagnostic Imaging,77.4%,108.12
NSW,2024-25 Q1 (Sep Qtr),Diagnostic Imaging,65.6%,99.95
NSW,2024-25 Q1 (Sep Qtr),Diagnostic Imaging,66.7%,134.41
Vic,2024-25 Q1 (Sep Qtr),Diagnostic Imaging,77.8%,131.56
Vic,2024-25 Q1 (Sep Qtr),Diagnostic Imaging,84.3%,152.90
Vic,2024-25 Q1 (Sep Qtr),Diagnostic Imaging,76.3%,139.10
Vic,2024-25 Q1 (Sep Qtr),Diagnostic Imaging,77.5%,139.98
Vic,2024-25 Q1 (Sep Qtr),Diagnostic Imaging,76.6%,116.53
Vic,2024-25 Q1 (Sep Qtr),Diagnostic Imaging,72.9%,103.09
Vic,2024-25 Q1 (Sep Qtr),Diagnostic Imaging,71.3%,110.60
Qld,2024-25 Q1 (Sep Qtr),Diagnostic Imaging,75.3%,125.52
Qld,2024-25 Q1 (Sep Qtr),Diagnostic Imaging,69.8%,122.07
Qld,2024-25 Q1 (Sep Qtr),Diagnostic Imaging,74.9%,135.95
Qld,2024-25 Q1 (Sep Qtr),Diagnostic Imaging,75.1%,129.68
Qld,2024-25 Q1 (Sep Qtr),Diagnostic Imaging,74.0%,126.92
Qld,2024-25 Q1 (Sep Qtr),Diagnostic Imaging,71.1%,145.83
Qld,2024-25 Q1 (Sep Qtr),Diagnostic Imaging,77.7%,106.18
Qld,2024-25 Q1 (Sep Qtr),Diagnostic Imaging,82.3%,133.89
SA,2024-25 Q1 (Sep Qtr),Diagnostic Imaging,73.0%,144.31
SA,2024-25 Q1 (Sep Qtr),Diagnostic Imaging,74.1%,145.10
SA,2024-25 Q1 (Sep Qtr),Diagnostic Imaging,70.4%,142.80
WA,2024-25 Q1 (Sep Qtr),Diagnostic Imaging,76.7%,117.49
WA,2024-25 Q1 (Sep Qtr),Diagnostic Imaging,76.0%,119.41
WA,2024-25 Q1 (Sep Qtr),Diagnostic Imaging,77.7%,109.65
WA,2024-25 Q1 (Sep Qtr),Diagnostic Imaging,76.1%,128.43
Tas,2024-25 Q1 (Sep Qtr),Diagnostic Imaging,67.2%,137.38
Tas,2024-25 Q1 (Sep Qtr),Diagnostic Imaging,67.2%,137.38
NT,2024-25 Q1 (Sep Qtr),Diagnostic Imaging,85.3%,150.76
NT,2024-25 Q1 (Sep Qtr),Diagnostic Imaging,85.3%,150.76
ACT,2024-25 Q1 (Sep Qtr),Diagnostic Imaging,55.7%,145.41
ACT,2024-25 Q1 (Sep Qtr),Diagnostic Imaging,55.7%,145.41
Unk,2024-25 Q1 (Sep Qtr),Diagnostic Imaging,95.8%,144.12
Unk,2024-25 Q1 (Sep Qtr),Diagnostic Imaging,95.8%,144.12
Australia,2024-25 Q1 (Sep Qtr),Total Operations,33.1%,108.53
NSW,2024-25 Q1 (Sep Qtr),Total Operations,36.7%,117.83
NSW,2024-25 Q1 (Sep Qtr),Total Operations,28.6%,134.52
NSW,2024-25 Q1 (Sep Qtr),Total Operations,23.4%,125.95
NSW,2024-25 Q1 (Sep Qtr),Total Operations,41.0%,125.72
NSW,2024-25 Q1 (Sep Qtr),Total Operations,45.9%,133.77
NSW,2024-25 Q1 (Sep Qtr),Total Operations,46.9%,138.38
NSW,2024-25 Q1 (Sep Qtr),Total Operations,33.1%,111.23
NSW,2024-25 Q1 (Sep Qtr),Total Operations,42.6%,134.92
NSW,2024-25 Q1 (Sep Qtr),Total Operations,38.2%,102.43
NSW,2024-25 Q1 (Sep Qtr),Total Operations,49.9%,91.50
NSW,2024-25 Q1 (Sep Qtr),Total Operations,33.5%,84.61
Vic,2024-25 Q1 (Sep Qtr),Total Operations,25.1%,115.02
Vic,2024-25 Q1 (Sep Qtr),Total Operations,27.5%,137.98
Vic,2024-25 Q1 (Sep Qtr),Total Operations,20.9%,116.82
Vic,2024-25 Q1 (Sep Qtr),Total Operations,26.3%,122.36
Vic,2024-25 Q1 (Sep Qtr),Total Operations,33.5%,115.42
Vic,2024-25 Q1 (Sep Qtr),Total Operations,25.7%,88.86
Vic,2024-25 Q1 (Sep Qtr),Total Operations,22.7%,91.54
Qld,2024-25 Q1 (Sep Qtr),Total Operations,41.0%,100.66
Qld,2024-25 Q1 (Sep Qtr),Total Operations,38.8%,89.44
Qld,2024-25 Q1 (Sep Qtr),Total Operations,38.1%,104.77
Qld,2024-25 Q1 (Sep Qtr),Total Operations,45.0%,115.80
Qld,2024-25 Q1 (Sep Qtr),Total Operations,41.7%,100.34
Qld,2024-25 Q1 (Sep Qtr),Total Operations,39.6%,81.73
Qld,2024-25 Q1 (Sep Qtr),Total Operations,40.8%,97.39
Qld,2024-25 Q1 (Sep Qtr),Total Operations,45.5%,108.26
SA,2024-25 Q1 (Sep Qtr),Total Operations,29.1%,90.20
SA,2024-25 Q1 (Sep Qtr),Total Operations,26.6%,93.69
SA,2024-25 Q1 (Sep Qtr),Total Operations,35.0%,82.72
WA,2024-25 Q1 (Sep Qtr),Total Operations,26.6%,95.52
WA,2024-25 Q1 (Sep Qtr),Total Operations,25.8%,99.51
WA,2024-25 Q1 (Sep Qtr),Total Operations,26.6%,97.11
WA,2024-25 Q1 (Sep Qtr),Total Operations,29.0%,83.51
Tas,2024-25 Q1 (Sep Qtr),Total Operations,18.4%,75.63
Tas,2024-25 Q1 (Sep Qtr),Total Operations,18.4%,75.63
NT,2024-25 Q1 (Sep Qtr),Total Operations,38.7%,99.47
NT,2024-25 Q1 (Sep Qtr),Total Operations,38.7%,99.47
ACT,2024-25 Q1 (Sep Qtr),Total Operations,15.1%,153.01
ACT,2024-25 Q1 (Sep Qtr),Total Operations,15.1%,153.01
Unk,2024-25 Q1 (Sep Qtr),Total Operations,54.2%,35.06
Unk,2024-25 Q1 (Sep Qtr),Total Operations,54.2%,35.06
Australia,2024-25 Q1 (Sep Qtr),Optometry,94.0%,37.97
NSW,2024-25 Q1 (Sep Qtr),Optometry,95.3%,35.35
NSW,2024-25 Q1 (Sep Qtr),Optometry,95.5%,39.65
NSW,2024-25 Q1 (Sep Qtr),Optometry,93.5%,34.33
NSW,2024-25 Q1 (Sep Qtr),Optometry,97.8%,46.27
NSW,2024-25 Q1 (Sep Qtr),Optometry,94.2%,33.24
NSW,2024-25 Q1 (Sep Qtr),Optometry,98.0%,45.16
NSW,2024-25 Q1 (Sep Qtr),Optometry,95.6%,32.95
NSW,2024-25 Q1 (Sep Qtr),Optometry,97.4%,29.77
NSW,2024-25 Q1 (Sep Qtr),Optometry,95.0%,34.31
NSW,2024-25 Q1 (Sep Qtr),Optometry,88.7%,31.59
NSW,2024-25 Q1 (Sep Qtr),Optometry,94.6%,22.77
